30
(1,Aroma,0.6,0.7)
(2,Bagel,1.0,3.3)
(3,Batter,0.3,1.0)
(4,Beans,0.6,5.0)
(5,Beer,1.3,0.7)
(6,Biscuit,1.0,2.2)
(7,Bread,1.5,10.0)
(8,Broth,1.2,0.8)
(9,Burger,1.0,5.0)
(10,Butter,0.8,3.3)
(11,Cake,1.0,0.8)
(12,Candy,0.1,0.2)
(13,Caramel,0.1,0.3)
(14,Caviar,0.7,0.4)
(15,Cheese,0.5,0.5)
(16,Chili,1.0,0.5)
(17,Chocolate,1.0,0.3)
(18,Cider,0.4,0.7)
(19,Cobbler,0.2,0.5)
(20,Cocoa,2.0,0.7)
(21,Coffee,0.6,0.6)
(22,Cookie,0.4,0.8)
(23,Cream,1.6,0.5)
(24,Croissant,0.2,2.0)
(25,Crumble,2.5,0.8)
(26,Cuisine,0.6,1.0)
(27,Curd,3.0,4.0)
(28,Dessert,2.0,3.0)
(29,Dish,2.5,8.0)
(30,Drink,0.4,0.8)
